Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
36,40.6551,-88.0099,265.139,501.3,395.73,340.27,161.03,922.71,469.89,131.245,203.792,72.535,421.41,0.0271489,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481,bepridil,31.5,15
37,40.6615,-88.0069,265.02,492.96,388.22,334.56,158.4,929.18,474.01,124.003,195.577,71.5635,436.22,0.0314436,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232,bepridil,31.5,15
38,40.6734,-88.0066,264.997,488.38,382.73,330.14,158.24,912.48,460.41,131.833,204.479,72.6349,424.1,0.0314618,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754,bepridil,31.5,15
39,40.698,-88.0229,266.196,487.38,382.88,330.13,157.25,915.72,462.82,130.341,203.181,72.829,428.34,0.0323486,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683,bepridil,31.5,15
40,40.8895,-88.0391,267.415,489.88,383.91,331.1,158.78,912.46,460.5,133.089,206.197,73.0969,422.58,0.0305105,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181,bepridil,31.5,15
41,40.3666,-88.0122,265.347,487.84,384.98,332.59,155.25,924.9,469.9,124.834,196.723,71.8786,437.06,0.0313619,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683,bepridil,31.5,15
42,40.9386,-88.0098,265.182,495.03,386.33,332.23,162.8,919.32,466.31,129.845,202.258,72.4018,424.29,0.0294373,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642,bepridil,31.5,15
43,41.0737,-88.0381,267.207,503.93,394.44,339.17,164.76,921.82,469.22,132.133,204.826,72.6814,417.89,0.0263793,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013,bepridil,31.5,15
44,40.842,-88.0114,265.384,504.01,395.62,339.66,164.35,905.1,454.57,143.372,217.476,74.0925,401.09,0.026562,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585,bepridil,31.5,15
45,40.7273,-88.0176,265.788,497.11,388.9,333.83,163.28,917.37,464.68,132.619,205.949,73.3178,420.26,0.0283873,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301,bepridil,31.5,15
