Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
44,39.3223,-88.1155,272.302,249.99,196.75,173.78,76.21,1005.68,440.91,47.6986,107.815,60.1131,755.69,0.0747257,0,0,44,0.965571,1.20915,0.856729,1.06389,0.967914,0.95513,0.935377,1.12134,1.10942,diltiazem,127.5,9
45,38.4521,-88.0452,267.233,205.5,156.69,137.84,67.66,965.24,405.35,50.8612,111.187,60.3224,759.74,0.0916338,0,0,45,1.11104,0.831287,0.850596,1.15416,0.758021,0.894735,0.931204,0.900433,1.29381,diltiazem,127.5,9
46,38.3448,-88.0335,266.112,219.65,171.21,149.99,69.66,977.66,418.17,49.8504,112.456,62.6008,758.01,0.0794193,0,0,46,0.940262,1.2529,0.939252,1.19994,0.824922,1.02557,0.788124,0.89548,0.937594,diltiazem,127.5,9
47,38.8466,-88.1102,272.203,198.82,153.21,134.38,64.44,1011.02,420.22,39.4663,97.3848,57.9158,812.2,0.08977,0,0,47,0.815581,1.07538,0.990865,1.29168,0.75363,0.991103,0.986885,1.07627,0.972273,diltiazem,127.5,9
48,39.0413,-88.0888,269.485,325.56,264.71,235.05,90.51,1025.91,482.28,54.602,116.532,61.9252,700.35,0.0578298,0,0,48,1.0233,1.21392,0.950118,0.739818,0.821107,1.16451,0.942537,1.08284,1.27541,diltiazem,127.5,9
49,39.2023,-88.1742,277.798,232.58,178.86,156.75,75.83,997.01,429.01,46.3022,107.432,61.1255,764.43,0.08047,0,0,49,1.22221,1.24695,1.27149,1.18023,0.818421,0.767903,0.821447,1.28247,0.913207,diltiazem,127.5,9
50,38.6654,-88.1179,272.833,223.14,172.87,151.09,72.05,1001.42,427.27,44.0913,104.985,60.8897,778.28,0.0819633,0,0,50,0.881617,1.23178,1.2189,1.18893,0.730645,0.936144,0.82669,1.10628,0.83131,diltiazem,127.5,9
52,39.1981,-88.1674,277.154,203.84,156.8,136.9,66.94,1006.39,421.46,40.6696,100.432,59.7592,802.55,0.0879139,0,0,52,1.01127,1.19491,1.18717,1.28868,1.0917,0.966981,0.853389,1.26557,0.836384,diltiazem,127.5,9
54,39.1663,-88.108,272.016,223.94,173.32,151.29,72.65,963.9,414.42,54.1587,117.834,63.669,739.96,0.0883155,0,0,54,1.03376,0.900984,0.767782,0.996276,1.26856,1.13849,0.742256,1.06967,1.05281,diltiazem,127.5,9
55,39.2111,-88.1772,278.214,270.23,209.77,184.4,85.83,1037.01,455.9,42.025,98.7053,56.6777,766.78,0.0874159,0,0,55,0.775433,0.752159,1.11706,0.786661,1.17688,0.933267,1.13928,1.298,1.09943,diltiazem,127.5,9
56,39.3942,-88.163,277.218,217.87,166.48,144.74,73.13,974.01,414.7,49.8548,112.352,62.4919,756.14,0.0947697,0,0,56,1.17027,0.781475,0.893751,1.00128,0.783822,1.05685,0.756285,1.22387,0.976556,diltiazem,127.5,9
57,37.5391,-87.9892,261.849,203.53,159.7,140.28,63.25,980.55,412.08,47.1388,107.346,60.2038,777.02,0.0833972,0,0,57,0.805714,1.18508,1.17096,1.24864,1.11951,1.19336,0.915059,0.811638,1.04663,diltiazem,127.5,9
58,38.4968,-88.0125,264.784,226.52,172.55,151.3,75.22,952.89,409.01,57.5396,121.057,63.5123,726.37,0.0835768,0,0,58,0.758009,0.975395,0.709013,1.05452,1.28739,0.833956,0.802097,0.831144,1.22362,diltiazem,127.5,9
59,39.2502,-88.1422,275.023,290.08,227.97,200.47,89.61,971.23,443.75,63.4293,129.723,66.2858,681.15,0.0683641,0,0,59,0.950357,1.17978,1.12951,0.834373,1.21284,0.925084,0.703891,1.21654,1.18738,diltiazem,127.5,9
60,37.4769,-87.9706,260.764,262.39,205.2,179.89,82.5,1000.26,439.71,49.7654,109.532,59.7638,737.87,0.0830234,0,0,60,0.917027,0.766713,0.941272,0.780512,1.00598,1.07908,1.01076,0.754151,1.13628,diltiazem,127.5,9
61,38.2656,-88.0886,271.408,221.48,167.22,146.19,75.29,939.87,400.62,60.1034,124.196,64.087,718.39,0.0905754,0,0,61,1.06616,0.865148,1.27603,1.04893,1.03127,0.793906,0.761144,1.00549,1.21576,diltiazem,127.5,9
62,37.7851,-88.0412,268.054,191.62,141.06,122.05,69.57,1028.16,418.13,34.4984,91.3536,56.8532,836.54,0.100047,0,1,62,1.10756,0.722619,1.07429,1.1129,0.889325,0.812698,1.02252,0.850317,0.820097,diltiazem,127.5,9
63,39.16,-88.1434,274.917,289.65,231.17,202.87,86.78,1009.13,460.28,52.3211,116.758,64.4306,719.48,0.0671502,0,0,63,1.16077,1.25058,1.11135,0.85642,0.808668,1.10566,0.711777,1.21897,0.842411,diltiazem,127.5,9
64,39.2461,-88.1736,277.076,277.19,218.46,189.68,87.51,1031.69,460.49,44.2204,105.445,61.2209,754.5,0.0831908,0,0,64,0.961366,0.868141,1.02763,0.727136,1.01761,1.25001,0.806337,1.27369,0.757977,diltiazem,127.5,9
65,38.3667,-88.0329,264.857,258.37,207.34,184.64,73.73,1040.79,455.84,41.1755,96.8558,55.6784,782.42,0.0699441,0,0,65,1.07596,1.25977,0.947544,1.02716,1.28177,1.08716,1.29657,0.929499,1.17982,diltiazem,127.5,9
66,38.5187,-88.1228,273.891,260.88,197.99,172.05,88.83,1019.39,445.04,43.6792,104.401,60.7179,758.51,0.0804378,0,0,66,0.794075,1.07123,1.28424,0.905957,1.29082,0.734768,0.841803,1.0886,0.772825,diltiazem,127.5,9
67,38.0244,-87.9947,262.616,210.8,164.43,143.09,67.71,982.53,416.8,47.0174,109.946,62.9232,771.73,0.0834888,0,0,67,1.015,1.1508,0.811343,1.13222,1.25142,1.25509,0.752394,0.802908,0.794583,diltiazem,127.5,9
68,38.4883,-88.1182,273.113,184.14,140.36,122.64,61.5,982.89,404.02,43.3724,102.457,59.0817,798.75,0.0979887,0,1,68,0.984593,0.863005,1.22983,1.25778,0.9853,1.07054,0.918093,1.08976,1.06116,diltiazem,127.5,9
69,37.8333,-87.9724,261.379,262.87,207.28,182.76,80.11,1037.1,454.47,41.7815,99.2552,57.472,774.23,0.0720797,0,0,69,1.29466,1.16093,0.860009,0.941595,1.06835,0.979596,1.12495,0.773179,0.98134,diltiazem,127.5,9
71,37.3056,-87.949,259.658,189.25,144.42,126.9,62.35,973.99,401.7,46.3519,105.189,58.8344,784.74,0.0914554,0,0,71,1.00009,0.884314,0.987544,1.23436,1.19081,0.984341,1.00487,0.713281,1.21882,diltiazem,127.5,9
